.9: error: T-TEST: PAIRED was specified but the number of variables preceding WITH (6) did not match the number following (3).

.206-226: error: T-TEST: Variable Mistake_Fused_Keyboard appears twice in variable list.

.250-271: error: T-TEST: Variable Mistake_Fused_Sorting appears twice in variable list.

.296: error: T-TEST: Variable Mistake_Fused_Throwing appears twice in variable list.

.9: error: T-TEST: PAIRED was specified but the number of variables preceding WITH (6) did not match the number following (3).

Table: Paired Sample Statistics
,,Mean,N,Std. Deviation,S.E. Mean
Pair 1,Mistake_Leap_Keyboard,8.21,19,5.00,1.15
,Mistake_Fused_Keyboard,13.26,19,6.81,1.56
Pair 2,Mistake_Leap_Sorting,6.05,19,2.37,.54
,Mistake_Fused_Sorting,3.63,19,1.38,.32
Pair 3,Mistake_Leap_Throwing,16.26,19,5.38,1.24
,Mistake_Fused_Throwing,13.84,19,3.47,.80

Table: Paired Samples Correlations
,,N,Correlation,Sig.
Pair 1,Mistake_Leap_Keyboard & Mistake_Fused_Keyboard,19,.33,.172
Pair 2,Mistake_Leap_Sorting & Mistake_Fused_Sorting,19,.11,.660
Pair 3,Mistake_Leap_Throwing & Mistake_Fused_Throwing,19,.00,.988

Table: Paired Samples Test
,,Paired Differences,,,,,,,
,,,,,95% Confidence Interval of the Difference,,,,
,,Mean,Std. Deviation,Std. Error Mean,Lower,Upper,t,df,Sig. (2-tailed)
Pair 1,Mistake_Leap_Keyboard - Mistake_Fused_Keyboard,-5.05,7.00,1.61,-8.43,-1.68,-3.14,18,.006
Pair 2,Mistake_Leap_Sorting - Mistake_Fused_Sorting,2.42,2.61,.60,1.16,3.68,4.04,18,.001
Pair 3,Mistake_Leap_Throwing - Mistake_Fused_Throwing,2.42,6.41,1.47,-.67,5.51,1.65,18,.117

Table: Paired Sample Statistics
,,Mean,N,Std. Deviation,S.E. Mean
Pair 1,Mistake_Neuron_Keyboard,9.42,19,8.71,2.00
,Mistake_Fused_Keyboard,13.26,19,6.81,1.56
Pair 2,Mistake_Neuron_Sorting,2.21,19,.54,.12
,Mistake_Fused_Sorting,3.63,19,1.38,.32
Pair 3,Mistake_Neuron_Throwing,14.21,19,5.03,1.15
,Mistake_Fused_Throwing,13.84,19,3.47,.80

Table: Paired Samples Correlations
,,N,Correlation,Sig.
Pair 1,Mistake_Neuron_Keyboard & Mistake_Fused_Keyboard,19,.08,.735
Pair 2,Mistake_Neuron_Sorting & Mistake_Fused_Sorting,19,.04,.885
Pair 3,Mistake_Neuron_Throwing & Mistake_Fused_Throwing,19,.13,.588

Table: Paired Samples Test
,,Paired Differences,,,,,,,
,,,,,95% Confidence Interval of the Difference,,,,
,,Mean,Std. Deviation,Std. Error Mean,Lower,Upper,t,df,Sig. (2-tailed)
Pair 1,Mistake_Neuron_Keyboard - Mistake_Fused_Keyboard,-3.84,10.60,2.43,-8.95,1.27,-1.58,18,.132
Pair 2,Mistake_Neuron_Sorting - Mistake_Fused_Sorting,-1.42,1.46,.34,-2.13,-.71,-4.23,18,.001
Pair 3,Mistake_Neuron_Throwing - Mistake_Fused_Throwing,.37,5.72,1.31,-2.39,3.12,.28,18,.782
